kelurahan,unit_id,kecamatan,score,intersection_density,avg_block_length,sidewalk_pct,amenity_pct,n_int,n_block,n_sidewalk,n_amenity
Cicaheum,16,Kiaracondong,84.74332253310686,245.88580512260793,55.57844572616401,0.2953000318945745,100.0,100.0,98.40615836395314,1.4765001594728724,100.0
Antapani Wetan,17,Antapani,86.16993971102413,218.90618652353518,52.13946339953157,1.8044297175024353,100.0,100.0,99.38872474299097,9.022148587512177,100.0
Antapani Kulon,18,Antapani,85.08537526097135,262.4336905857074,49.010621237566134,0.11383368129513083,100.0,100.0,100.0,0.5691684064756541,100.0
Antapani Tengah,19,Antapani,85.21192335533532,246.11916265948977,46.065602703334946,0.28256447378041244,100.0,100.0,100.0,1.4128223689020623,100.0
Antapani Kidul,20,Antapani,85.04292063728282,384.86121896942484,50.575169101023334,0.12296112792261707,100.0,100.0,99.8356659711362,0.6148056396130853,100.0
Sukamiskin,21,Arcamanik,84.40985471468399,163.5723254964977,57.065932871793116,0.020674804926441994,100.0,100.0,97.98116203663054,0.10337402463220996,100.0
Cisaranten Endah,22,Arcamanik,84.69876295160965,207.9682732459552,54.58644859507952,0.12251615586957149,97.54098360655738,100.0,98.68958611569157,0.6125807793478574,100.0
Cisaranten Kulon,23,Arcamanik,84.47929683975528,214.02119539201175,56.6511982715642,0.06586606499531647,97.86700125470514,100.0,98.09965763669595,0.3293303249765823,100.0
Cisaranten Bina Harapan,24,Arcamanik,84.36618566532982,101.58249844867564,57.39450057115202,0.0,100.0,100.0,97.88728555109942,0.0,100.0
Sukamulya,25,Cinambo,84.7125548399656,215.5197871676023,53.353526867067856,0.0,91.96428571428571,100.0,99.04184946655205,0.0,100.0
Pakemitan,26,Cinambo,75.28492164887355,60.569843297747084,49.993731386312554,0.0,86.3013698630137,75.71230412218387,100.0,0.0,100.0
Cisaranten Wetan,27,Cinambo,84.39696048283727,200.3967793291222,57.03546103356513,0.0,100.0,100.0,97.98986827612424,0.0,100.0
Babakan Penghulu,28,Cinambo,83.91906363183458,121.06338184186706,62.61092429526336,0.0,97.41100323624595,100.0,96.3968787727819,0.0,100.0
Braga,29,Sumur Bandung,100.0,311.76690280401675,44.29961666104749,49.94723901037646,100.0,100.0,100.0,100.0,100.0
Kebon Pisang,30,Sumur Bandung,89.27498226165831,181.51547446024887,59.0164005616097,6.730422127347432,100.0,100.0,97.4238855538258,33.652110636737156,100.0
Merdeka,31,Sumur Bandung,90.53348127347951,161.74304547492034,55.46902095564339,8.003005997665252,100.0,100.0,98.43742258410188,40.015029988326255,100.0
Babakan Ciamis,32,Sumur Bandung,100.0,223.42618589390105,47.27021554195872,41.061981440470774,100.0,100.0,100.0,100.0,100.0
Tamansari,33,Bandung Wetan,99.9405869008506,286.7919789548249,50.69315282340951,29.91075285272095,100.0,100.0,99.8019563361687,100.0,100.0
Citarum,34,Bandung Wetan,100.0,327.5224945029514,42.08003390301267,41.966229699864684,100.0,100.0,100.0,100.0,100.0
Cihapit,35,Bandung Wetan,100.0,307.41002211597527,42.3003083081744,29.510729660441193,100.0,100.0,100.0,100.0,100.0
Sukamaju,36,Cibeunying Kidul,84.4982373996167,218.71588145912924,58.02571998892317,0.24820834108016435,100.0,100.0,97.70693714602196,1.2410417054008218,100.0
Cicadas,37,Cibeunying Kidul,85.76188531345335,234.23753954683954,48.153920621890855,1.0158470846044565,100.0,100.0,100.0,5.079235423022283,100.0
Cikutra,38,Cibeunying Kidul,86.47572767769324,310.90883838073876,50.55162676860983,2.030679962860695,100.0,100.0,99.84239235182577,10.153399814303473,100.0
Padasuka,39,Cibeunying Kidul,90.06626842191656,306.2310253927749,51.454277094463265,6.921227659065497,100.0,100.0,99.58449225872478,34.60613829532749,100.0
Cihaurgeulis,40,Cibeunying Kaler,89.16892286159622,307.0004527317034,48.05556302960613,5.558563815461621,100.0,100.0,100.0,27.792819077308106,100.0
Cigadung,41,Cibeunying Kaler,84.58158181273768,154.16645669657845,58.903814961876016,0.45968793643606815,96.49122807017544,100.0,97.45605286803543,2.298439682180341,100.0
Sukaluyu,42,Cibeunying Kaler,85.13334147930686,277.1095809553627,48.683581934389125,0.17778863907582354,100.0,100.0,100.0,0.8889431953791178,100.0
Neglasari,43,Cibeunying Kaler,84.9095024661198,206.4846271621298,51.055804561935595,0.0,100.0,100.0,99.69834155373269,0.0,100.0
Sukapada,44,Cibeunying Kidul,85.49369374030339,262.93376931586613,46.81733855558822,0.6582583204045147,100.0,100.0,100.0,3.2912916020225738,100.0
Pasirlayung,45,Cibeunying Kidul,85.56256144170676,260.6001769196149,46.48880552734509,0.7500819222756876,100.0,100.0,100.0,3.750409611378438,100.0
Jatihandap,46,Mandalajati,84.53006556115754,118.65611102955248,65.46664896313204,1.1410377725680096,64.34540389972145,100.0,95.58095743910513,5.705188862840048,100.0
Karangpamulang,47,Mandalajati,84.36627851262865,102.19554752601024,57.39341735266573,0.0,66.97247706422019,100.0,97.88759504209551,0.0,100.0
Pasir Impun,48,Mandalajati,84.32992241448446,124.48618625020525,57.81757183101471,0.0,84.0,100.0,97.76640804828152,0.0,100.0
Sindangjaya,49,Mandalajati,85.01227054474035,143.09193910180014,62.827274180850495,1.4823349184176662,98.21428571428571,100.0,96.335064519757,7.411674592088331,100.0
